,No,Station Name,Line
0,100,소요산,1
1,101,동두천,1
2,102,보산,1
3,103,동두천중앙,1
4,104,지행,1
5,105,덕정,1
6,106,덕계,1
7,107,양주,1
8,108,녹양,1
9,109,가능,1
10,110,의정부,1
11,111,회룡,1
12,112,망월사,1
13,113,도봉산,1
14,114,도봉,1
15,115,방학,1
16,116,창동,1
17,117,녹천,1
18,118,월계,1
19,119,광운대,1
20,120,석계,1
21,121,신이문,1
22,122,외대앞,1
23,123,회기,1
24,124,청량리,1
25,125,제기동,1
26,126,신설동,1
27,127,동묘앞,1
28,128,동대문,1
29,129,종로5가,1
30,130,종로3가,1
31,131,종각,1
32,132,시청,1
33,133,서울역,1
34,134,남영,1
35,135,용산,1
36,136,노량진,1
37,137,대방,1
38,138,신길,1
39,139,영등포,1
40,140,신도림,1
41,141,구로,1
42,142,구일,1
43,143,개봉,1
44,144,오류동,1
45,145,온수,1
46,146,역곡,1
47,147,소사,1
48,148,부천,1
49,149,중동,1
50,150,송내,1
51,151,부개,1
52,152,부평,1
53,153,백운,1
54,154,동암,1
55,155,간석,1
56,156,주안,1
57,157,도화,1
58,158,제물포,1
59,159,도원,1
60,160,동인천,1
61,161,인천,1
62,P142,가산디지털단지,1
63,P143,독산,1
64,P144,금천구청,1
65,P144-1,광명,1
66,P145,석수,1
67,P146,관악,1
68,P147,안양,1
69,P148,명학,1
70,P149,금정,1
71,P150,군포,1
72,P151,당정,1
73,P152,의왕,1
74,P153,성균관대,1
75,P154,화서,1
76,P155,수원,1
77,P156,세류,1
78,P157,병점,1
79,P157-1,서동탄,1
80,P158,세마,1
81,P159,오산대,1
82,P160,오산,1
83,P161,진위,1
84,P162,송탄,1
85,P163,서정리,1
86,P164,지제,1
87,P165,평택,1
88,P166,성환,1
89,P167,직산,1
90,P168,두정,1
91,P169,천안,1
92,P170,봉명,1
93,P171,쌍용,1
94,P172,아산,1
95,P174,배방,1
96,P176,온양온천,1
97,P177,신창,1
98,201,시청,2
99,202,을지로입구,2
100,203,을지로3가,2
101,204,을지로4가,2
102,205,동대문역사문화공원,2
103,206,신당,2
104,207,상왕십리,2
105,208,왕십리,2
106,209,한양대,2
107,210,뚝섬,2
108,211,성수,2
109,212,건대입구,2
110,213,구의,2
111,214,강변,2
112,215,잠실나루,2
113,216,잠실,2
114,217,잠실새내,2
115,218,종합운동장,2
116,219,삼성,2
117,220,선릉,2
118,221,역삼,2
119,222,강남,2
120,223,교대,2
121,224,서초,2
122,225,방배,2
123,226,사당,2
124,227,낙성대,2
125,228,서울대입구,2
126,229,봉천,2
127,230,신림,2
128,231,신대방,2
129,232,구로디지털단지,2
130,233,대림,2
131,234,신도림,2
132,235,문래,2
133,236,영등포구청,2
134,237,당산,2
135,238,합정,2
136,239,홍대입구,2
137,240,신촌,2
138,241,이대,2
139,242,아현,2
140,243,충정로,2
141,211-0,성수,2
142,211-1,용답,2
143,211-2,신답,2
144,211-3,용두,2
145,211-4,신설동,2
146,234-0,신도림,2
147,234-1,도림천,2
148,234-2,양천구청,2
149,234-3,신정네거리,2
150,234-4,까치산,2
151,309,대화,3
152,310,주엽,3
153,311,정발산,3
154,312,마두,3
155,313,백석,3
156,314,대곡,3
157,315,화정,3
158,316,원당,3
159,317,원흥,3
160,318,삼송,3
161,319,지축,3
162,320,구파발,3
163,321,연신내,3
164,322,불광,3
165,323,녹번,3
166,324,홍제,3
167,325,무악재,3
168,326,독립문,3
169,327,경복궁,3
170,328,안국,3
171,329,종로3가,3
172,330,을지로3가,3
173,331,충무로,3
174,332,동대입구,3
175,333,약수,3
176,334,금호,3
177,335,옥수,3
178,336,압구정,3
179,337,신사,3
180,338,잠원,3
181,339,고속터미널,3
